,Name,Description,Recipe,Ingredients,Nutrition Facts,Video Link
12,Burning Pine Needles,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients in a pitcher or punch bowl. mix well. and serve to guests., | 10 oz: Gin | 8 oz: Pepper Soda | .5:oz: Vodka | 1/4 oz: Spiced Rum | 1/4 oz: Triple Sec | 1/4 oz: Chocolate Milk | 8 oz: Chocolate Milk | 2 Litre(s): Chocolate Milk | 1 tsp: Chocolate Milk | .5 tsp: Energy Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
13,Apple Daiquiri,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine ingredients in a shaker 1/3 full of ice. Shake and strain into a chilled cocktail glass., | 1.5 oz: Rum | .5 oz: Apple Juice | .5:oz: Lime Juice | .5 tsp: Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
14,Bunny Bonzana,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the tequila. apple brandy. triple sec. lemon juice and maple syrup into a cocktail shaker half-filled with ice cubes. Strain into a chilled old-fashioned glass. garnish with a slice of lemon. and serve., | 2 oz: Tequila | 1 oz: Apple Brandy | 3 Dash(s): Triple Sec | .5 oz: Lemon Juice | 3/4 tsp: Maple Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
15,Blonde Moment,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix over Ice and garnish with a cherry., | 1 oz: Lemon Rum | .5 oz: Blue Curacao Liqueur | 1/3 oz: Grenadine Syrup | 1.5 oz: Sours | 1 Splash(s): Soda Water,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
16,Bleeding Apple,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add currant Vodka and raspberry liqueur to a glass with ice. Fill with Juice - Apple Juice and add a dash of grenadine. Add diced pieces of fruit., | 2 oz: Blackcurrant Vodka | 1 oz: Raspberry Liqueur | 3 - 4 oz: Apple Juice | 1 Splash(s): Grenadine Syrup | 3: Apple(s) | 4: Raspberries | 2: Strawberries,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
17,Big Apple Cinnatini,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake with ice and strain into chilled martini glass. Garnish with a cinnamon stick., | 1.5 oz: Apple Rum | .5 oz: Coffee Liqueur | .5:oz: Cinnamon Schnapps | 1.5 oz: Half-and-half,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
18,Bearded Clam,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients over crushed ice in a cocktail glass. Stir. and serve., | 1 oz: Canadian Whisky | 1 oz: Almond Liqueur | 1 Splash(s): Cranberry Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
19,Belgian Berry,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine Black Haus and Bailey`s irish cream over ice in a rocks or old-fashioned glass. Garnish with fresh berries. and serve., | 1 oz: Blackberry Schnapps | 1 oz: Irish Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
20,Brighton Punch,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake over ice cubes in a shaker. Strain into a collins glass over ice cubes. and serve., | 3/4 oz: Brandy | 3/4 oz: Bourbon Whiskey | 1/4 oz: Benedictine Herbal Liqueur | 3/4 oz: Lemon Juice | 2 oz: Orange Juice | 1 tsp: Superfine Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
21,Bourbon Float,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Chill a beer mug. Add two scoops of vanilla ice cream. then bourbon. Fill with coke., | 2 oz: Bourbon Whiskey |: Cola | 2 Scoop(s): Ice Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
22,Bourbon Sloe Gin Fizz,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the bourbon whiskey. sloe gin and lemon juice over cracked ice in a chilled collins glass. Stir gently. Add 3 ice cubes. and fill with soda/sparkling water. Garnish with a maraschino cherry and a slice of lemon. and serve., | 2 oz: Bourbon Whiskey | 1 oz: Gin | 1 tsp: Lemon Juice |: Soda Water,Calories: 198kcal | Carbohydrates: 1g | Protein: 1g | Fat: 1g | Sodium: 1mg | Potassium: 7mg | Fiber: 1g | Sugar: 1g | Vitamin A: 1IU | Vitamin C: 2mg | Calcium: 1mg | Iron: 1mg,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
23,Beerbon Sour,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix lemonade concentrate with bourbon. Add cold beer slowly and stir gently. Serve with plenty of ice., | 2 oz: Bitter Beer | 2 oz: Bourbon Whiskey | 2 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
24,Ario Bomb,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Build over ice in glass. Garnish with 3 cherries., | 1.5 oz: Vodka | .5 oz: Grenadine Syrup | fill with: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
25,Breakfast,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake well and strain into a cocktail glass. Sprinkle with nutmeg., | 2 oz: Red Port | 1 oz: Dark Creme De Cacao | 1 tsp: Gold Rum | .5 oz: Lemon Juice | 1 tsp: Egg,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
26,Bourbon Toddy,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Soak one teaspoon or a cube of sugar with bitters in the bottom of a highball glass. Add a few ice cubes. and pour in the whiskey and water. Garnish with a twist of lemon. and serve., | 2 oz: Bourbon Whiskey | 1 oz: Water | 1/8 oz: Bitters | 1 tsp: Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
27,Bloody Monkey,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Half-fill a highball glass with ice. Pour the grenadine around the inside of the glass and on top of the ice to give that bloody look to it. Next. add the Vodka (more if you prefer). then the sour apple pucker. Add the ginger ale. and then fill with 7-up, | 1 oz: Grenadine Syrup | 1 oz: Apple Schnapps | 1 oz: Vodka | 1 Dash(s): Ginger Ale | 8 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
28,Bitches Ain`t Shit,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour both ingredients over ice cubes in a highball glass. and serve., | 1.5 oz: Almond Liqueur,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
29,The Berserker,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour shot of Amaretto into glass and fill with Juice - PineJuice - Apple Juice. Mixing is optional., | 1 oz: Almond Liqueur | 1 Glass(s): Apple Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
30,Burnt Toasted Almond,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients into a mixing glass with ice. Shake and pour (including ice) into a large rocks glass., | .5 oz: Vodka | 3/4 oz: Coffee Liqueur | 3/4 oz: Almond Liqueur | 2 oz: Half-and-half,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
31,Brady Brew,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine ingredients and serve over ice., | 2 oz: Canadian Whisky | 2 oz: Vodka | 1.5 Splash(s): Cola | 1 1/4 oz: Ginger Ale,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
32,Bootlegger,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into an old-fashioned or rocks glass. Stir lightly. and serve., | 1.5 oz: Bourbon Whiskey | 1.5 oz: Tequila | 1.5 oz: Peach Liqueur,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
33,Bleu Balls,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix Alize Bleu and Hpnotiq together and shake. Pour the contents into the glass. Fill the rest of the glass with the Red Bull., | 2.5 oz: Brandy | 2.5 oz: Tropical-Fruit Liqueur | 4 oz: Energy Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
34,Black and Fall,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir together in a mixing glass filled with ice cubes. Strain into a chilled cocktail glass. and serve., | 3/4 oz: Brandy | 3/4 oz: Brandy | 1/4 oz: Orange Liqueur | 2 - 3 Dash(s): Licorice Liqueur,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
35,Arizona Aztec,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Jose Cuervo gold tequila. Bacardi Limon rum and Captain Morgan Rum - Spiced Rum into a highball glass. Stir well. Fill with Coca-cola. stir again. and serve., | 1 3/4 oz: Gold Tequila | 1 3/4 oz: Lemon Rum | 1 3/4 oz: Spiced Rum | 6 3/4 oz: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
36,Blue Ice Kool-Aid,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Float hypnotiq on Vodka. fill with tonic water and add the juice of one slice of lemon., | 1 oz: Tropical-Fruit Liqueur | 1 oz: Vodka | 6 oz: Tonic Water | 1 Slice(s): Lemon,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
37,Blue Punch,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake ingredients in a cocktail shaker with ice. Strain into glass., | 3 oz: Exotic-Fruit Liqueur | 5 oz: Fruit Punch,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
38,Bloody Beer,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add equal parts of Beer and Clamato Juice and the two dashes of Tabasco. mix them up. Sprinkle with pepper (optional) and serve!, | 8 oz: Bitter Beer | 8 oz: Clamato Juice | 1 Pinch(s): Black Peppers | 2 Dash(s): Tabasco sauce,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
39,Bloody Piss,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Gently shake Vault soda and raspberry Vodka in a cocktail shaker. and pour into an old fashioned glass. Add a splash of cranberry juice., | 1 oz: Raspberry Vodka | 1 Splash(s): Cranberry Juice | 4 oz: Energy Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
40,Between The Sheets,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour cognac. rum and triple sec into an ice-filled rocks glass. Fill with sweet and sour mix. and serve., | 1 oz: Brandy | .5 oz: White Rum | .5:oz: Triple Sec |: Sours,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
41,Blue Sky 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a cocktail shaker half-filled with ice cubes. Shake well and pour everything into a hurricane glass. Garnish with a slice of orange. Add an umbrella. and serve., | 1.5 oz: Canadian Whisky | 3/4 oz: White Rum | 3/4 oz: Blue Curacao Liqueur | 8 oz: Apple Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
42,Beautiful Side Ride,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the cognac. Grand Marnier and triple sec into a highball glass in that order. Add sweet and sour mix and Sprite (or 7-Up) lemon-lime soda. both to taste. Serve., | 1 1/4 oz: Brandy | 1 oz: Orange Liqueur | 1 oz: Triple Sec |: Sours |: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
43,Black Stuff 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour creme de menthe. Scotch whisky. Kahlua coffee liqueur and Bailey`s irish cream into a cocktail shaker half-filled with ice cubes. Add tea. prepared with a small amount of milk and sugar as one would normally have in their tea. Shake well. Strain int, | .5 oz: Creme De Menthe | .5 oz: Scotch Whiskey | .5:oz: Coffee Liqueur | .5 oz: Irish Cream | 1 - 2 oz: Tea,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
44,Bourbon Black Hawk 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",In a shaker half-filled with ice cubes. combine the bourbon. sloe gin. lemon juice. and sugar. Shake well. Strain into a cocktail glass. Garnish with the cherry., | 2 oz: Bourbon Whiskey | .5 oz: Gin | 1 oz: Lemon Juice | 1 tsp: Superfine Sugar | 1: Cherry,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
45,Breath Taker,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add ingredients to a rocks glass. Swirl together., | 1 oz: Canadian Whisky | 1 oz: Cinnamon Schnapps,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
46,Apple Granny Crisp,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients in a blender. Blend well. and pour into a cocktail glass. Add whipped cream. dust with cinnamon. and serve., | 1 oz: Apple Schnapps | .5 oz: Brandy | .5:oz: Irish Cream | 2 Scoop(s): Ice Cream | 2: Crackers | .5 oz: Whipped Cream | 1 Pinch(s): Cinnamon Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
47,Bronsky,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour ingredients over ice in a large brandy snifter. and serve., | 1.5 oz: OP Rum | 1.5 oz: Aged Tequila | 3 oz: Sours,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
48,Bellwitch,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake ingredients in a cocktail shaker with ice. Strain into glass., | 1: Gin | 1 oz: Peach Schnapps | 1 oz: Triple Sec,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
49,Bitch Slap,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix Vodka. 7-up. gin. everclear and rum together over ice in a highball glass. Fill with lemonade. and serve., | 1 oz: Vodka | 1 Splash(s): Lemonade | 1 oz: Gin | 1 oz: Grain Alcohol | 1 oz: White Rum | fill with: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
50,Brazilian Bitch,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Build ingredients in order listed in a highball glass. Coca-cola on top. and serve., | 1 oz: Almond Liqueur | 1 oz: Vodka | 4 - 5:oz: Cranberry Juice | 1 Splash(s): Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
51,Blackberry Cola,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour into an ice-filled highball glass., | 1.5 oz: Blackberry Brandy | .5 oz: Sherry | .5:oz: Sherry | 4 oz: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
52,Blackberry Smoothie,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine the vanilla ice cream and blackberry brandy in a blender. Blend until smooth. pour into a hurricane glass. and serve., | 2 oz: Blackberry Brandy | 2 Cups(s): Ice Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
53,Blackberry Tequila,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour tequila. creme de cassis and lemon juice into a cocktail shaker half-filled with ice cubes. Shake well. Pour contents into a highball glass. and serve., | 4 oz: Tequila | 2 oz: Blackcurrant Liqueur | 1 oz: Lemon Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
54,Buddy Rich,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Build the Stoli raspberry Vodka. Kahlua coffee liqueur. Chambord raspberry liqueur and Frangelico hazelnut liqueur into a highball glass filled with ice cubes. Top with half-and-half. and serve., | 3/4 oz: Raspberry Vodka | 3/4 oz: Coffee Liqueur | .5:oz: Raspberry Liqueur | 1/4 oz: Hazelnut Liqueur | .5 oz: Half-and-half,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
55,Bullshot,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine Vodka and beef boullion with four ice cubes in a mixing glass. Add salt and pepper to taste. stir. and strain into a chilled wine glass., | 3 oz: Vodka | 4 oz: Beef Bouillon |: Salt |: Pepper,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
56,Butterscotch Martini,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine Butterscotch Schnapps and Vanilla Vodka in a shaker half filled with ice cubes. Strain into a Cocktail glass., | 1.5 oz: Vanilla Vodka | 2.5 oz: Butterscotch Schnapps,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
57,Apple Kiss,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix all. adding cream last., | 1 oz: Apple Vodka | 1 oz: Apple Schnapps | 1 oz: Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
58,B-2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into an old-fashioned glass 3/4 filled with ice cubes. Stir and serve., | 1 oz: Coffee Liqueur | .5 oz: Hazelnut Liqueur | 1 oz: Vanilla Vodka | 1 oz: Irish Cream | 1 oz: Half-and-half,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
59,B-52 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Grand Marnier. Kahlua coffee liqueur and Bailey`s irish cream into a cocktail shaker half-filled with ice cubes. Shake well. strain into a cocktail glass. and serve., | 1 oz: Orange Liqueur | 3/4 oz: Coffee Liqueur | .5:oz: Irish Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,https://www.youtube.com/embed/PM9pW1mBVEQ?feature=oembed
60,Bahama Mama NC,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a cocktail shaker. and shake well. Pour into a pina-colada glass filled with crushed or cubed ice. and serve., | 3/4 oz: White Rum | 3/4 oz: Banana Liqueur | 1 oz: Coconut Rum | 3 oz: Apple Juice | 1 oz: Orange Juice | 1 Dash(s): Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
61,B-52 3,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake ingredients in a cocktail shaker with ice. Pour over ice in an old-fashioned glass. and serve., | .5 oz: Orange Liqueur | .5 oz: Chocolate Liqueur | .5:oz: Irish Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,https://www.youtube.com/embed/PM9pW1mBVEQ?feature=oembed
